Symbol,Company,Sector,Price,Change_Pct,Volume,Market_Cap
INFY.NS,Infosys Limited,TECH,1513.5,2.4850995367312763,9785489,6297292374016.0
TCS.NS,Tata Consultancy Services,TECH,3025.199951171875,1.1163815027288537,1556510,11187629588480.0
WIPRO.NS,Wipro Limited,TECH,239.83999633789062,1.4165464784613897,8564386,2555888271360.0
HCLTECH.NS,HCL Technologies,TECH,1540.5,1.8579724366788515,1558698,4248031985664.0
TECHM.NS,Tech Mahindra,TECH,1397.800048828125,0.8004685979017674,2883318,1271587012608.0
HDFCBANK.NS,HDFC Bank,BANKING,984.5,0.2239654112155938,15987789,15215371485184.0
ICICIBANK.NS,ICICI Bank,BANKING,1348.0,0.37230081906180196,8542171,9649081286656.0
KOTAKBANK.NS,Kotak Mahindra Bank,BANKING,2092.699951171875,0.2106930154131375,2173185,4189227057152.0
AXISBANK.NS,Axis Bank,BANKING,1217.0,-0.4743252041642866,4140529,3808090128384.0
SBIN.NS,State Bank of India,BANKING,951.1500244140625,-0.49170385436207426,7342829,8779702206464.0
INDUSINDBK.NS,IndusInd Bank,BANKING,799.3499755859375,0.2634023939714644,1894597,622754332672.0
SUNPHARMA.NS,Sun Pharmaceutical,PHARMA,1697.800048828125,0.3783862079746396,1235458,4073590882304.0
DRREDDY.NS,Dr. Reddy's Labs,PHARMA,1198.699951171875,-0.5558381538480858,3482971,997936070656.0
CIPLA.NS,Cipla Limited,PHARMA,1511.5,0.3852061510403096,1143938,1220946165760.0
DIVISLAB.NS,Divi's Laboratories,PHARMA,6691.5,0.5258018478179224,418568,1798132334592.0
BIOCON.NS,Biocon Limited,PHARMA,382.1499938964844,0.4600420683698053,1642183,510199267328.0
LUPIN.NS,Lupin Limited,PHARMA,1990.199951171875,0.9331525452941023,1717265,909048086528.0
TATAMOTORS.NS,Tata Motors,AUTO,405.70001220703125,-0.527153086749909,6930046,1494474162176.0
MARUTI.NS,Maruti Suzuki,AUTO,15583.0,0.6718780282964015,274166,5123111649280.0
M&M.NS,Mahindra & Mahindra,AUTO,3663.89990234375,-0.7126998313403872,1620846,4396849561600.0
BAJAJ-AUTO.NS,Bajaj Auto,AUTO,8772.0,0.5790288367826636,992855,2497754693632.0
EICHERMOT.NS,Eicher Motors,AUTO,6866.5,-0.2831832704037177,514340,1916423503872.0
HEROMOTOCO.NS,Hero MotoCorp,AUTO,5359.5,1.1990181268882176,347951,1122475442176.0
RELIANCE.NS,Reliance Industries,ENERGY,1489.300048828125,0.7645499883711095,7067592,20268453986304.0
ONGC.NS,Oil & Natural Gas Corp,ENERGY,251.39999389648438,-0.3172097785243008,7417149,3203438215168.0
NTPC.NS,NTPC Limited,ENERGY,325.45001220703125,-0.199323484918318,5245966,3259811758080.0
TATAPOWER.NS,Tata Power,ENERGY,395.8500061035156,0.6739557004614425,2906265,1302995140608.0
ADANIGREEN.NS,Adani Green Energy,ENERGY,1041.300048828125,-1.745612299268753,2239369,1846701457408.0
IOC.NS,Indian Oil Corporation,ENERGY,169.38999938964844,0.1359634207613699,12401842,2391996628992.0
HINDUNILVR.NS,Hindustan Unilever,FMCG,2408.800048828125,-0.21540808499896438,780497,5783135191040.0
ITC.NS,ITC Limited,FMCG,405.54998779296875,0.37124119423772517,6649478,5285626249216.0
NESTLEIND.NS,Nestle India,FMCG,1262.9000244140625,0.01584487605323956,737956,2452432879616.0
BRITANNIA.NS,Britannia Industries,FMCG,6133.5,-0.389768574908648,395488,1482442145792.0
DABUR.NS,Dabur India,FMCG,515.4500122070312,-0.6169887315914847,1005698,914248564736.0
GODREJCP.NS,Godrej Consumer Products,FMCG,1126.699951171875,0.4367892788798346,1046350,1152729612288.0
